Komoditas,Tahun,Bulan,Harga
Bawang Merah,2021,Oktober,"Rp28,004"
Bawang Putih (Bonggol),2021,Oktober,"Rp28,351"
Cabai Merah Keriting,2021,Oktober,"Rp32,515"
Cabai Rawit Merah,2021,Oktober,"Rp36,846"
 Daging Sapi Murni,2021,Oktober,"Rp125,353"
 Daging Ayam Ras,2021,Oktober,"Rp35,184"
 Telur Ayam Ras,2021,Oktober,"Rp22,611"
 Gula Pasir Lokal/Curah,2021,Oktober,"Rp13,289"
 Tepung Terigu Curah,2021,Oktober,"Rp8,502"
 Minyak Goreng Kemasan,2021,Oktober,"Rp15,938"
Beras Premium,2021,November,"Rp12,331"
Beras Medium,2021,November,"Rp10,819"
Kedelai Biji Kering,2021,November,"Rp11,822"
Bawang Merah,2021,November,"Rp26,510"
Bawang Putih (Bonggol),2021,November,"Rp27,976"
Cabai Merah Keriting,2021,November,"Rp38,338"
Cabai Rawit Merah,2021,November,"Rp35,465"
 Daging Sapi Murni,2021,November,"Rp125,497"
 Daging Ayam Ras,2021,November,"Rp35,118"
 Telur Ayam Ras,2021,November,"Rp24,069"
 Gula Pasir Lokal/Curah,2021,November,"Rp13,332"
 Tepung Terigu Curah,2021,November,"Rp8,576"
 Minyak Goreng Kemasan,2021,November,"Rp17,748"
Beras Premium,2021,Desember,"Rp12,378"
Beras Medium,2021,Desember,"Rp10,847"
Kedelai Biji Kering,2021,Desember,"Rp11,898"
Bawang Merah,2021,Desember,"Rp26,854"
Bawang Putih (Bonggol),2021,Desember,"Rp28,129"
Cabai Merah Keriting,2021,Desember,"Rp45,231"
Cabai Rawit Merah,2021,Desember,"Rp72,410"
 Daging Sapi Murni,2021,Desember,"Rp126,181"
 Daging Ayam Ras,2021,Desember,"Rp35,497"
 Telur Ayam Ras,2021,Desember,"Rp25,943"
 Gula Pasir Lokal/Curah,2021,Desember,"Rp13,392"
 Tepung Terigu Curah,2021,Desember,"Rp8,688"
 Minyak Goreng Kemasan,2021,Desember,"Rp19,064"
 Beras Premium,2022,Januari,"Rp12,438"
 Beras Medium,2022,Januari,"Rp10,902"
 Kedelai Biji Kering,2022,Januari,"Rp12,108"
 Bawang Merah,2022,Januari,"Rp28,672"
 Bawang Putih (Bonggol),2022,Januari,"Rp28,882"
 Cabai Merah Keriting,2022,Januari,"Rp37,987"
Cabai Rawit Merah,2022,Januari,"Rp60,194"
 Daging Sapi Murni,2022,Januari,"Rp126,545"
 Daging Ayam Ras,2022,Januari,"Rp37,787"
 Telur Ayam Ras,2022,Januari,"Rp27,384"
 Gula Pasir Lokal/Curah,2022,Januari,"Rp13,844"
 Tepung Terigu Curah,2022,Januari,"Rp8,948"
 Minyak Goreng Kemasan,2022,Januari,"Rp19,692"
 Minyak Goreng Curah,2022,Januari,-
 Jagung Tk. Peternak,2022,Januari,-
 Beras Premium,2022,Februari,"Rp12,390"
 Beras Medium,2022,Februari,"Rp10,880"
 Kedelai Biji Kering,2022,Februari,"Rp12,378"
 Bawang Merah,2022,Februari,"Rp31,832"
 Bawang Putih (Bonggol),2022,Februari,"Rp29,113"
 Cabai Merah Keriting,2022,Februari,"Rp37,902"
Cabai Rawit Merah,2022,Februari,"Rp49,521"
 Daging Sapi Murni,2022,Februari,"Rp126,336"
 Daging Ayam Ras,2022,Februari,"Rp35,962"
 Telur Ayam Ras,2022,Februari,"Rp24,036"
 Gula Pasir Lokal/Curah,2022,Februari,"Rp14,197"
 Tepung Terigu Curah,2022,Februari,"Rp9,138"
 Minyak Goreng Kemasan,2022,Februari,"Rp18,228"
 Minyak Goreng Curah,2022,Februari,-
 Jagung Tk. Peternak,2022,Februari,-
 Beras Premium,2022,Maret,"Rp12,433"
 Beras Medium,2022,Maret,"Rp10,919"
 Kedelai Biji Kering,2022,Maret,"Rp13,057"
 Bawang Merah,2022,Maret,"Rp35,044"
 Bawang Putih (Bonggol),2022,Maret,"Rp30,453"
 Cabai Merah Keriting,2022,Maret,"Rp48,708"
Cabai Rawit Merah,2022,Maret,"Rp62,015"
 Daging Sapi Murni,2022,Maret,"Rp128,553"
 Daging Ayam Ras,2022,Maret,"Rp36,295"
 Telur Ayam Ras,2022,Maret,"Rp24,844"
 Gula Pasir Lokal/Curah,2022,Maret,"Rp14,391"
 Tepung Terigu Curah,2022,Maret,"Rp9,348"
 Minyak Goreng Kemasan,2022,Maret,"Rp20,117"
 Minyak Goreng Curah,2022,Maret,-
 Jagung Tk. Peternak,2022,Maret,-
 Beras Premium,2022,April,"Rp12,445"
 Beras Medium,2022,April,"Rp10,898"
 Kedelai Biji Kering,2022,April,"Rp13,485"
 Bawang Merah,2022,April,"Rp33,541"
 Bawang Putih (Bonggol),2022,April,"Rp31,123"
 Cabai Merah Keriting,2022,April,"Rp44,101"
Cabai Rawit Merah,2022,April,"Rp51,119"
 Daging Sapi Murni,2022,April,"Rp132,813"
 Daging Ayam Ras,2022,April,"Rp38,061"
 Telur Ayam Ras,2022,April,"Rp25,759"
 Gula Pasir Lokal/Curah,2022,April,"Rp14,789"
 Tepung Terigu Curah,2022,April,"Rp9,719"
 Minyak Goreng Kemasan,2022,April,"Rp24,523"
 Minyak Goreng Curah,2022,April,"Rp18,611"
 Jagung Tk. Peternak,2022,April,-
 Beras Premium,2022,Mei,"Rp12,410"
 Beras Medium,2022,Mei,"Rp10,847"
 Kedelai Biji Kering,2022,Mei,"Rp13,608"
 Bawang Merah,2022,Mei,"Rp38,297"
 Bawang Putih (Bonggol),2022,Mei,"Rp30,699"
 Cabai Merah Keriting,2022,Mei,"Rp43,860"
Cabai Rawit Merah,2022,Mei,"Rp49,009"
 Daging Sapi Murni,2022,Mei,"Rp135,729"
 Daging Ayam Ras,2022,Mei,"Rp39,175"
 Telur Ayam Ras,2022,Mei,"Rp27,098"
 Gula Pasir Lokal/Curah,2022,Mei,"Rp14,800"
 Tepung Terigu Curah,2022,Mei,"Rp9,854"
 Minyak Goreng Kemasan,2022,Mei,"Rp25,062"
 Minyak Goreng Curah,2022,Mei,"Rp17,758"
 Jagung Tk. Peternak,2022,Mei,"Rp5,482"
 Beras Premium,2022,Juni,"Rp12,360"
 Beras Medium,2022,Juni,"Rp10,779"
 Kedelai Biji Kering,2022,Juni,"Rp13,711"
 Bawang Merah,2022,Juni,"Rp48,894"
 Bawang Putih (Bonggol),2022,Juni,"Rp28,411"
 Cabai Merah Keriting,2022,Juni,"Rp65,698"
Cabai Rawit Merah,2022,Juni,"Rp80,021"
 Daging Sapi Murni,2022,Juni,"Rp134,187"
 Daging Ayam Ras,2022,Juni,"Rp37,755"
 Telur Ayam Ras,2022,Juni,"Rp28,220"
 Gula Pasir Lokal/Curah,2022,Juni,"Rp14,685"
 Tepung Terigu Curah,2022,Juni,"Rp9,989"
 Minyak Goreng Kemasan,2022,Juni,"Rp24,239"
 Minyak Goreng Curah,2022,Juni,"Rp16,784"
 Jagung Tk. Peternak,2022,Juni,"Rp5,457"
 Beras Premium,2022,Juli,"Rp12,351"
 Beras Medium,2022,Juli,"Rp10,777"
 Kedelai Biji Kering,2022,Juli,"Rp13,752"
 Bawang Merah,2022,Juli,"Rp57,859"
 Bawang Putih (Bonggol),2022,Juli,"Rp27,074"
 Cabai Merah Keriting,2022,Juli,"Rp76,189"
Cabai Rawit Merah,2022,Juli,"Rp83,160"
 Daging Sapi Murni,2022,Juli,"Rp134,773"
 Daging Ayam Ras,2022,Juli,"Rp37,183"
 Telur Ayam Ras,2022,Juli,"Rp28,108"
 Gula Pasir Lokal/Curah,2022,Juli,"Rp14,518"
 Tepung Terigu Curah,2022,Juli,"Rp10,296"
 Minyak Goreng Kemasan,2022,Juli,"Rp22,558"
 Minyak Goreng Curah,2022,Juli,"Rp15,325"
 Jagung Tk. Peternak,2022,Juli,"Rp5,345"
 Beras Premium,2022,Agustus,"Rp12,391"
 Beras Medium,2022,Agustus,"Rp10,849"
 Kedelai Biji Kering,2022,Agustus,"Rp13,773"
 Bawang Merah,2022,Agustus,"Rp40,822"
 Bawang Putih (Bonggol),2022,Agustus,"Rp26,541"
 Cabai Merah Keriting,2022,Agustus,"Rp64,255"
Cabai Rawit Merah,2022,Agustus,"Rp63,360"
 Daging Sapi Murni,2022,Agustus,"Rp133,969"
 Daging Ayam Ras,2022,Agustus,"Rp35,489"
 Telur Ayam Ras,2022,Agustus,"Rp28,834"
 Gula Pasir Lokal/Curah,2022,Agustus,"Rp14,401"
 Tepung Terigu Curah,2022,Agustus,"Rp10,507"
 Minyak Goreng Kemasan,2022,Agustus,"Rp20,078"
 Minyak Goreng Curah,2022,Agustus,"Rp14,174"
 Jagung Tk. Peternak,2022,Agustus,"Rp5,334"
 Beras Premium,2022,September,"Rp12,570"
 Beras Medium,2022,September,"Rp11,024"
 Kedelai Biji Kering,2022,September,"Rp13,895"
 Bawang Merah,2022,September,"Rp34,587"
 Bawang Putih (Bonggol),2022,September,"Rp26,296"
 Cabai Merah Keriting,2022,September,"Rp62,451"
Cabai Rawit Merah,2022,September,"Rp62,867"
 Daging Sapi Murni,2022,September,"Rp134,281"
 Daging Ayam Ras,2022,September,"Rp35,251"
 Telur Ayam Ras,2022,September,"Rp29,065"
 Gula Pasir Lokal/Curah,2022,September,"Rp14,359"
 Tepung Terigu Curah,2022,September,"Rp10,791"
 Minyak Goreng Kemasan,2022,September,"Rp19,031"
 Minyak Goreng Curah,2022,September,"Rp13,924"
 Jagung Tk. Peternak,2022,September,"Rp5,357"
 Beras Premium,2022,Oktober,"Rp12,728"
 Beras Medium,2022,Oktober,"Rp11,144"
 Kedelai Biji Kering,2022,Oktober,"Rp14,115"
 Bawang Merah,2022,Oktober,"Rp33,778"
 Bawang Putih (Bonggol),2022,Oktober,"Rp25,934"
 Cabai Merah Keriting,2022,Oktober,"Rp46,646"
Cabai Rawit Merah,2022,Oktober,"Rp55,523"
 Daging Sapi Murni,2022,Oktober,"Rp134,433"
 Daging Ayam Ras,2022,Oktober,"Rp34,282"
 Telur Ayam Ras,2022,Oktober,"Rp27,179"
 Gula Pasir Lokal/Curah,2022,Oktober,"Rp14,277"
 Tepung Terigu Curah,2022,Oktober,"Rp10,933"
 Minyak Goreng Kemasan,2022,Oktober,"Rp18,255"
 Minyak Goreng Curah,2022,Oktober,"Rp13,779"
 Jagung Tk. Peternak,2022,Oktober,"Rp5,402"
 Beras Premium,2022,November,"Rp12,796"
 Beras Medium,2022,November,"Rp11,196"
 Kedelai Biji Kering,2022,November,"Rp14,568"
 Bawang Merah,2022,November,"Rp35,146"
 Bawang Putih (Bonggol),2022,November,"Rp25,701"
 Cabai Merah Keriting,2022,November,"Rp36,830"
Cabai Rawit Merah,2022,November,"Rp44,991"
 Daging Sapi Murni,2022,November,"Rp134,716"
 Daging Ayam Ras,2022,November,"Rp34,691"
 Telur Ayam Ras,2022,November,"Rp27,725"
 Gula Pasir Lokal/Curah,2022,November,"Rp14,267"
 Tepung Terigu Curah,2022,November,"Rp11,023"
 Minyak Goreng Kemasan,2022,November,"Rp17,967"
 Minyak Goreng Curah,2022,November,"Rp14,040"
 Jagung Tk. Peternak,2022,November,"Rp5,312"
 Beras Premium,2022,Desember,"Rp13,001"
 Beras Medium,2022,Desember,"Rp11,405"
 Kedelai Biji Kering,2022,Desember,"Rp14,810"
 Bawang Merah,2022,Desember,"Rp36,090"
 Bawang Putih (Bonggol),2022,Desember,"Rp26,445"
 Cabai Merah Keriting,2022,Desember,"Rp38,414"
Cabai Rawit Merah,2022,Desember,"Rp51,361"
 Daging Sapi Murni,2022,Desember,"Rp135,400"
 Daging Ayam Ras,2022,Desember,"Rp36,007"
 Telur Ayam Ras,2022,Desember,"Rp29,845"
 Gula Pasir Lokal/Curah,2022,Desember,"Rp14,307"
 Tepung Terigu Curah,2022,Desember,"Rp11,140"
 Minyak Goreng Kemasan,2022,Desember,"Rp17,988"
 Minyak Goreng Curah,2022,Desember,"Rp14,421"
 Jagung Tk. Peternak,2022,Desember,"Rp5,564"
 Beras Premium,2023,Januari,"Rp13,241"
 Beras Medium,2023,Januari,"Rp11,619"
 Kedelai Biji Kering,2023,Januari,"Rp14,969"
 Bawang Merah,2023,Januari,"Rp38,503"
 Bawang Putih (Bonggol),2023,Januari,"Rp27,801"
 Cabai Merah Keriting,2023,Januari,"Rp40,805"
Cabai Rawit Merah,2023,Januari,"Rp57,664"
 Daging Sapi Murni,2023,Januari,"Rp135,632"
 Daging Ayam Ras,2023,Januari,"Rp35,612"
 Telur Ayam Ras,2023,Januari,"Rp29,253"
 Gula Pasir Lokal/Curah,2023,Januari,"Rp14,362"
 Tepung Terigu Curah,2023,Januari,"Rp11,190"
 Tepung Terigu Kemasan,2023,Januari,-
 Minyak Goreng Kemasan,2023,Januari,"Rp18,045"
 Minyak Goreng Curah,2023,Januari,"Rp14,830"
 Jagung Tk. Peternak,2023,Januari,"Rp5,734"
 Ikan Kembung,2023,Januari,-
 Ikan Tongkol,2023,Januari,-
 Ikan Bandeng,2023,Januari,-
 Garam konsumsi,2023,Januari,-
 Beras Premium,2023,Februari,"Rp13,524"
 Beras Medium,2023,Februari,"Rp11,848"
 Kedelai Biji Kering,2023,Februari,"Rp14,931"
 Bawang Merah,2023,Februari,"Rp38,892"
 Bawang Putih (Bonggol),2023,Februari,"Rp29,288"
 Cabai Merah Keriting,2023,Februari,"Rp43,711"
Cabai Rawit Merah,2023,Februari,"Rp58,589"
 Daging Sapi Murni,2023,Februari,"Rp135,061"
 Daging Ayam Ras,2023,Februari,"Rp34,412"
 Telur Ayam Ras,2023,Februari,"Rp28,210"
 Gula Pasir Lokal/Curah,2023,Februari,"Rp14,404"
 Tepung Terigu Curah,2023,Februari,"Rp11,226"
 Tepung Terigu Kemasan,2023,Februari,-
 Minyak Goreng Kemasan,2023,Februari,"Rp18,207"
 Minyak Goreng Curah,2023,Februari,"Rp15,105"
 Jagung Tk. Peternak,2023,Februari,"Rp5,820"
 Ikan Kembung,2023,Februari,"Rp40,317"
 Ikan Tongkol,2023,Februari,"Rp36,954"
 Ikan Bandeng,2023,Februari,"Rp35,202"
 Garam konsumsi,2023,Februari,-
 Beras Premium,2023,Maret,"Rp13,630"
 Beras Medium,2023,Maret,"Rp11,906"
 Kedelai Biji Kering,2023,Maret,"Rp14,912"
 Bawang Merah,2023,Maret,"Rp36,061"
 Bawang Putih (Bonggol),2023,Maret,"Rp31,938"
 Cabai Merah Keriting,2023,Maret,"Rp45,180"
Cabai Rawit Merah,2023,Maret,"Rp67,390"
 Daging Sapi Murni,2023,Maret,"Rp135,713"
 Daging Ayam Ras,2023,Maret,"Rp34,672"
 Telur Ayam Ras,2023,Maret,"Rp28,772"
 Gula Pasir Lokal/Curah,2023,Maret,"Rp14,404"
 Tepung Terigu Curah,2023,Maret,"Rp11,279"
 Tepung Terigu Kemasan,2023,Maret,-
 Minyak Goreng Kemasan,2023,Maret,"Rp18,174"
 Minyak Goreng Curah,2023,Maret,"Rp15,069"
 Jagung Tk. Peternak,2023,Maret,"Rp5,963"
 Ikan Kembung,2023,Maret,"Rp40,543"
 Ikan Tongkol,2023,Maret,"Rp36,988"
 Ikan Bandeng,2023,Maret,"Rp35,396"
 Garam konsumsi,2023,Maret,-
 Beras Premium,2023,April,"Rp13,699"
 Beras Medium,2023,April,"Rp11,958"
 Kedelai Biji Kering,2023,April,"Rp14,829"
 Bawang Merah,2023,April,"Rp35,920"
 Bawang Putih (Bonggol),2023,April,"Rp32,589"
 Cabai Merah Keriting,2023,April,"Rp38,950"
Cabai Rawit Merah,2023,April,"Rp45,530"
 Daging Sapi Murni,2023,April,"Rp137,527"
 Daging Ayam Ras,2023,April,"Rp35,329"
 Telur Ayam Ras,2023,April,"Rp29,105"
 Gula Pasir Lokal/Curah,2023,April,"Rp14,426"
 Tepung Terigu Curah,2023,April,"Rp11,266"
 Tepung Terigu Kemasan,2023,April,"Rp13,827"
 Minyak Goreng Kemasan,2023,April,"Rp18,267"
 Minyak Goreng Curah,2023,April,"Rp15,075"
 Jagung Tk. Peternak,2023,April,"Rp6,105"
 Ikan Kembung,2023,April,"Rp40,886"
 Ikan Tongkol,2023,April,"Rp37,167"
 Ikan Bandeng,2023,April,"Rp36,107"
 Garam konsumsi,2023,April,"Rp11,849"
 Beras Premium,2023,Mei,"Rp13,662"
 Beras Medium,2023,Mei,"Rp11,930"
 Kedelai Biji Kering,2023,Mei,"Rp13,391"
 Bawang Merah,2023,Mei,"Rp39,244"
 Bawang Putih (Bonggol),2023,Mei,"Rp36,313"
 Cabai Merah Keriting,2023,Mei,"Rp36,460"
Cabai Rawit Merah,2023,Mei,"Rp42,257"
 Daging Sapi Murni,2023,Mei,"Rp136,245"
 Daging Ayam Ras,2023,Mei,"Rp36,855"
 Telur Ayam Ras,2023,Mei,"Rp30,338"
 Gula Pasir Lokal/Curah,2023,Mei,"Rp14,475"
 Tepung Terigu Curah,2023,Mei,"Rp11,216"
 Tepung Terigu Kemasan,2023,Mei,"Rp13,811"
 Minyak Goreng Kemasan,2023,Mei,"Rp18,198"
 Minyak Goreng Curah,2023,Mei,"Rp15,050"
 Jagung Tk. Peternak,2023,Mei,"Rp6,217"
 Ikan Kembung,2023,Mei,"Rp40,993"
 Ikan Tongkol,2023,Mei,"Rp37,221"
 Ikan Bandeng,2023,Mei,"Rp35,962"
 Garam konsumsi,2023,Mei,"Rp11,936"
 Beras Premium,2023,Juni,"Rp13,657"
 Beras Medium,2023,Juni,"Rp11,905"
 Kedelai Biji Kering,2023,Juni,"Rp13,057"
 Bawang Merah,2023,Juni,"Rp38,334"
 Bawang Putih (Bonggol),2023,Juni,"Rp37,832"
 Cabai Merah Keriting,2023,Juni,"Rp38,706"
Cabai Rawit Merah,2023,Juni,"Rp44,801"
 Daging Sapi Murni,2023,Juni,"Rp136,314"
 Daging Ayam Ras,2023,Juni,"Rp38,607"
 Telur Ayam Ras,2023,Juni,"Rp30,636"
 Gula Pasir Lokal/Curah,2023,Juni,"Rp14,533"
 Tepung Terigu Curah,2023,Juni,"Rp11,151"
 Tepung Terigu Kemasan,2023,Juni,"Rp13,769"
 Minyak Goreng Kemasan,2023,Juni,"Rp18,072"
 Minyak Goreng Curah,2023,Juni,"Rp14,971"
 Jagung Tk. Peternak,2023,Juni,"Rp6,259"
 Ikan Kembung,2023,Juni,"Rp40,790"
 Ikan Tongkol,2023,Juni,"Rp36,868"
 Ikan Bandeng,2023,Juni,"Rp35,606"
 Garam konsumsi,2023,Juni,"Rp11,978"
 Beras Premium,2023,Juli,"Rp13,669"
 Beras Medium,2023,Juli,"Rp11,977"
 Kedelai Biji Kering,2023,Juli,"Rp13,098"
 Bawang Merah,2023,Juli,"Rp35,513"
 Bawang Putih (Bonggol),2023,Juli,"Rp40,433"
 Cabai Merah Keriting,2023,Juli,"Rp41,279"
Cabai Rawit Merah,2023,Juli,"Rp43,276"
 Daging Sapi Murni,2023,Juli,"Rp135,789"
 Daging Ayam Ras,2023,Juli,"Rp37,898"
 Telur Ayam Ras,2023,Juli,"Rp30,943"
 Gula Pasir Lokal/Curah,2023,Juli,"Rp14,647"
 Tepung Terigu Curah,2023,Juli,"Rp11,126"
 Tepung Terigu Kemasan,2023,Juli,"Rp13,748"
 Minyak Goreng Kemasan,2023,Juli,"Rp17,893"
 Minyak Goreng Curah,2023,Juli,"Rp14,847"
 Jagung Tk. Peternak,2023,Juli,"Rp6,239"
 Ikan Kembung,2023,Juli,"Rp40,746"
 Ikan Tongkol,2023,Juli,"Rp36,594"
 Ikan Bandeng,2023,Juli,"Rp35,530"
 Garam konsumsi,2023,Juli,"Rp12,011"
 Beras Premium,2023,Agustus,"Rp13,872"
 Beras Medium,2023,Agustus,"Rp12,187"
 Kedelai Biji Kering,2023,Agustus,"Rp13,063"
 Bawang Merah,2023,Agustus,"Rp29,170"
 Bawang Putih (Bonggol),2023,Agustus,"Rp39,338"
 Cabai Merah Keriting,2023,Agustus,"Rp42,965"
Cabai Rawit Merah,2023,Agustus,"Rp46,711"
 Daging Sapi Murni,2023,Agustus,"Rp135,807"
 Daging Ayam Ras,2023,Agustus,"Rp36,053"
 Telur Ayam Ras,2023,Agustus,"Rp30,470"
 Gula Pasir Lokal/Curah,2023,Agustus,"Rp14,767"
 Tepung Terigu Curah,2023,Agustus,"Rp11,107"
 Tepung Terigu Kemasan,2023,Agustus,"Rp13,769"
 Minyak Goreng Kemasan,2023,Agustus,"Rp17,780"
 Minyak Goreng Curah,2023,Agustus,"Rp14,738"
 Jagung Tk. Peternak,2023,Agustus,"Rp6,721"
 Ikan Kembung,2023,Agustus,"Rp40,649"
 Ikan Tongkol,2023,Agustus,"Rp36,453"
 Ikan Bandeng,2023,Agustus,"Rp35,270"
 Garam konsumsi,2023,Agustus,"Rp12,052"
 Beras Premium,2023,September,"Rp14,582"
 Beras Medium,2023,September,"Rp12,940"
 Kedelai Biji Kering,2023,September,"Rp13,105"
 Bawang Merah,2023,September,"Rp25,148"
 Bawang Putih (Bonggol),2023,September,"Rp37,651"
 Cabai Merah Keriting,2023,September,"Rp41,007"
Cabai Rawit Merah,2023,September,"Rp38,539"
 Daging Sapi Murni,2023,September,"Rp135,772"
 Daging Ayam Ras,2023,September,"Rp35,626"
 Telur Ayam Ras,2023,September,"Rp29,054"
