date,jual
2021-09-24,14250
2021-09-23,14256
2021-09-22,14249
2021-09-21,14244
2021-09-20,14251
2021-09-17,14233
2021-09-16,14238
2021-09-15,14252
2021-09-14,14257
2021-09-13,14260
2021-09-10,14225
2021-09-09,14272
2021-09-08,14266
2021-09-07,14195
2021-09-06,14239
2021-09-03,14261
2021-09-02,14281
2021-09-01,14284
2021-08-31,14306
2021-08-30,14374
2021-08-27,14431
2021-08-26,14423
2021-08-25,14408
2021-08-24,14391
2021-08-23,14415
2021-08-20,14464
2021-08-19,14414
2021-08-18,14384
2021-08-16,14383
2021-08-13,14388
2021-08-12,14389
2021-08-10,14397
2021-08-09,14378
2021-08-06,14369
2021-08-05,14342
2021-08-04,14324
2021-08-03,14362
2021-08-02,14456
2021-07-30,14462
2021-07-29,14491
2021-07-28,14498
2021-07-27,14489
2021-07-26,14494
2021-07-23,14501
2021-07-22,14508
2021-07-21,14554
2021-07-19,14524
2021-07-16,14517
2021-07-15,14503
2021-07-14,14493
2021-07-13,14486
2021-07-12,14486
2021-07-09,14548
2021-07-08,14548
2021-07-07,14500
2021-07-06,14468
2021-07-05,14482
2021-07-02,14564
2021-07-01,14539
2021-06-30,14542
2021-06-29,14496
2021-06-28,14472
2021-06-25,14447
2021-06-24,14462
2021-06-23,14454
2021-06-22,14421
2021-06-21,14453
2021-06-18,14403
2021-06-17,14378
2021-06-16,14257
2021-06-15,14244
2021-06-14,14222
2021-06-11,14206
2021-06-10,14240
2021-06-09,14262
2021-06-08,14262
2021-06-07,14271
2021-06-04,14316
2021-06-03,14297
2021-06-02,14276
2021-05-31,14292
2021-05-28,14310
2021-05-27,14312
2021-05-25,14335
2021-05-24,14362
2021-05-21,14375
2021-05-20,14396
2021-05-19,14313
2021-05-18,14300
2021-05-17,14284
2021-05-11,14203
2021-05-10,14198
2021-05-07,14289
2021-05-06,14364
2021-05-05,14439
2021-05-04,14431
2021-05-03,14467
2021-04-30,14453
2021-04-29,14468
2021-04-28,14510
2021-04-27,14497
2021-04-26,14489
2021-04-23,14548
2021-04-22,14530
2021-04-21,14549
2021-04-20,14508
2021-04-19,14568
2021-04-16,14592
2021-04-15,14646
2021-04-14,14633
2021-04-13,14648
2021-04-12,14631
2021-04-09,14580
2021-04-08,14580
2021-04-07,14513
2021-04-06,14519
2021-04-05,14533
2021-04-01,14577
2021-03-31,14572
2021-03-30,14481
2021-03-29,14434
2021-03-26,14446
2021-03-25,14464
2021-03-24,14455
2021-03-23,14421
2021-03-22,14456
2021-03-19,14476
2021-03-18,14412
2021-03-17,14459
2021-03-16,14424
2021-03-15,14418
2021-03-12,14371
2021-03-10,14421
2021-03-09,14468
2021-03-08,14390
2021-03-05,14371
2021-03-04,14299
2021-03-03,14334
2021-03-02,14307
2021-03-01,14300
2021-02-26,14229
2021-02-25,14104
2021-02-24,14089
2021-02-23,14126
2021-02-22,14098
2021-02-19,14085
2021-02-18,14059
2021-02-17,14019
2021-02-16,13875
2021-02-15,13946
2021-02-11,14011
2021-02-10,13989
2021-02-09,14000
2021-02-08,14000
2021-02-05,14062
2021-02-04,14036
2021-02-03,14017
2021-02-02,14044
2021-02-01,14042
2021-01-29,14084
2021-01-28,14119
2021-01-27,14091
2021-01-26,14086
2021-01-25,14082
2021-01-22,14054
2021-01-21,14039
2021-01-20,14065
2021-01-19,14086
2021-01-18,14080
2021-01-15,14068
2021-01-14,14119
2021-01-13,14109
2021-01-12,14231
2021-01-11,14155
2021-01-08,14058
2021-01-07,13938
2021-01-06,13926
2021-01-05,13945
2021-01-04,13903
2020-12-30,14105
2020-12-29,14169
2020-12-28,14184
2020-12-23,14282
2020-12-22,14218
2020-12-21,14180
2020-12-18,14146
2020-12-17,14152
2020-12-16,14151
2020-12-15,14171
2020-12-14,14158
2020-12-11,14102
2020-12-10,14130
2020-12-08,14164
2020-12-07,14135
2020-12-04,14182
2020-12-03,14177
2020-12-02,14164
2020-12-01,14178
2020-11-30,14128
2020-11-27,14145
2020-11-26,14130
2020-11-25,14169
2020-11-24,14196
2020-11-23,14164
2020-11-20,14228
2020-11-19,14167
2020-11-18,14118
2020-11-17,14073
2020-11-16,14139
2020-11-13,14222
2020-11-12,14187
2020-11-11,14076
2020-11-10,14015
2020-11-09,14172
2020-11-06,14321
2020-11-05,14439
2020-11-04,14557
2020-11-03,14609
2020-11-02,14718
2020-10-27,14690
2020-10-26,14697
2020-10-23,14738
2020-10-22,14697
2020-10-21,14658
