tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
14/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,300","34,300","117,950","121,450","112,700","23,700","23,700","29,200","29,200","31,450","31,450","41,900","41,750","42,450","53,100","47,450","59,850","13,150","11,450","14,300","13,450","13,800","14,800","13,050"
15/ 11/ 2019,"11,800","10,750","10,400","11,850","11,650","13,100","12,650","34,650","34,650","118,250","121,850","112,850","23,850","23,850","29,600","29,600","31,500","31,500","41,600","41,900","42,000","52,800","47,000","59,850","13,150","11,500","14,300","13,450","13,800","14,800","13,050"
18/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,750","34,750","118,000","121,450","112,950","24,050","24,050","30,050","30,050","31,500","31,500","39,800","40,000","40,300","50,800","45,450","57,350","13,150","11,500","14,300","13,450","13,800","14,800","13,050"
19/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,750","34,750","118,000","121,450","112,950","24,100","24,100","30,100","30,100","31,500","31,500","39,700","39,850","40,100","49,900","44,650","56,300","13,150","11,500","14,300","13,450","13,800","14,800","13,050"
20/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,800","34,800","118,000","121,450","112,900","24,200","24,200","30,450","30,450","31,600","31,600","39,300","39,400","39,650","49,450","44,250","55,850","13,200","11,500","14,300","13,450","13,800","14,800","13,050"
21/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,700","34,700","118,000","121,450","112,900","24,250","24,250","30,600","30,600","31,600","31,600","38,800","38,950","39,100","48,600","43,750","54,650","13,200","11,500","14,300","13,450","13,800","14,750","13,050"
22/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,800","34,800","118,000","121,450","112,900","24,300","24,300","30,700","30,700","31,600","31,600","38,500","38,550","38,850","47,700","42,950","53,550","13,200","11,550","14,300","13,450","13,800","14,750","13,050"
25/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,850","34,850","118,000","121,500","112,900","24,550","24,550","30,800","30,800","31,550","31,550","36,550","37,200","36,600","45,600","41,050","50,600","13,300","11,600","14,550","13,500","13,800","14,750","13,050"
26/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,900","34,900","118,000","121,500","112,800","24,700","24,700","30,850","30,850","31,550","31,550","36,200","37,100","36,150","45,150","40,500","50,250","13,200","11,600","14,300","13,500","13,800","14,750","13,050"
27/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,950","34,950","118,000","121,500","112,700","24,800","24,800","30,900","30,900","31,600","31,600","35,350","35,950","35,350","44,350","39,800","49,450","13,200","11,650","14,300","13,500","13,800","14,750","13,050"
28/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,750","34,750","117,950","121,500","112,750","24,850","24,850","31,000","31,000","31,600","31,600","35,200","35,850","35,250","43,700","39,400","48,900","13,200","11,650","14,300","13,500","13,800","14,750","13,050"
29/ 11/ 2019,"11,750","10,700","10,350","11,800","11,600","13,050","12,600","34,700","34,700","117,950","121,500","112,750","24,950","24,950","31,050","31,050","31,650","31,650","34,800","35,650","34,800","43,150","39,100","48,100","13,200","11,650","14,300","13,500","13,800","14,800","13,050"
02/ 12/ 2019,"11,750","10,700","10,350","11,800","11,600","13,100","12,600","34,600","34,600","118,000","121,550","112,800","25,100","25,100","31,600","31,600","31,900","31,900","33,450","34,600","33,150","41,050","36,250","46,050","13,250","11,700","14,300","13,500","13,800","14,800","13,050"
03/ 12/ 2019,"11,750","10,700","10,350","11,800","11,600","13,100","12,600","34,450","34,450","118,100","121,550","112,950","25,150","25,150","31,700","31,700","31,900","31,900","33,050","34,250","32,650","40,750","35,800","45,600","13,250","11,750","14,300","13,500","13,800","14,800","13,050"
04/ 12/ 2019,"11,750","10,700","10,350","11,800","11,600","13,100","12,600","34,200","34,200","118,050","121,550","112,950","25,200","25,200","31,850","31,850","31,900","31,900","32,450","33,400","32,250","40,250","35,900","45,050","13,250","11,750","14,300","13,500","13,800","14,800","13,050"
