tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
01/ 01/ 2018,"11,050","9,600","9,350","11,450","10,800","12,700","12,350","35,650","35,650","115,850","121,250","110,400","25,200","25,200","21,900","21,900","22,400","22,400","37,100","36,400","37,750","41,700","33,750","49,650","13,000","11,350","14,050","13,650","13,550","15,450","11,600"
02/ 01/ 2018,"11,750","10,650","10,300","11,850","11,700","13,050","12,600","34,800","34,800","114,200","117,650","110,600","26,650","26,650","26,300","26,300","24,100","24,100","38,700","38,250","38,200","44,350","39,900","48,800","13,800","11,950","14,950","14,300","14,250","16,200","12,650"
03/ 01/ 2018,"11,750","10,650","10,350","11,850","11,700","13,050","12,600","34,750","34,750","113,650","117,250","109,400","26,450","26,450","26,300","26,300","24,150","24,150","38,950","38,450","38,550","45,000","41,000","48,550","13,850","12,000","14,950","14,300","14,250","16,150","12,650"
04/ 01/ 2018,"11,750","10,700","10,350","11,900","11,750","13,100","12,600","34,400","34,400","114,250","117,750","110,500","26,200","26,200","26,300","26,300","24,250","24,250","38,600","37,950","38,450","45,550","41,400","49,550","13,850","12,000","14,950","14,300","14,250","16,150","12,650"
05/ 01/ 2018,"11,800","10,700","10,350","11,900","11,750","13,100","12,600","34,550","34,550","114,250","117,750","110,500","26,100","26,100","26,350","26,350","24,150","24,150","38,450","37,800","38,250","45,500","41,700","49,350","13,800","12,000","14,950","14,300","14,250","16,150","12,650"
08/ 01/ 2018,"11,800","10,750","10,350","11,950","11,800","13,150","12,650","34,700","34,700","114,150","117,700","110,300","26,000","26,000","26,550","26,550","24,250","24,250","38,500","38,350","37,900","44,650","41,300","47,900","13,800","12,000","14,950","14,250","14,250","16,100","12,650"
09/ 01/ 2018,"11,850","10,750","10,400","11,950","11,800","13,150","12,650","34,950","34,950","114,150","117,750","110,450","25,900","25,900","26,400","26,400","24,200","24,200","38,800","38,750","38,150","44,650","41,300","48,200","13,800","11,950","14,950","14,250","14,200","16,100","12,650"
10/ 01/ 2018,"11,850","10,800","10,400","12,000","11,800","13,150","12,700","35,150","35,150","113,550","117,150","110,300","25,800","25,800","26,400","26,400","24,200","24,200","38,750","38,750","38,150","44,250","40,750","47,900","13,800","11,950","14,950","14,250","14,200","16,100","12,650"
11/ 01/ 2018,"11,900","10,800","10,500","12,050","11,850","13,200","12,700","35,150","35,150","113,900","117,400","110,300","25,750","25,750","26,300","26,300","24,250","24,250","39,000","38,850","38,500","44,250","40,600","47,900","13,800","11,950","14,950","14,250","14,250","16,150","12,650"
12/ 01/ 2018,"11,950","10,850","10,450","12,050","11,900","13,250","12,800","35,100","35,100","113,500","117,000","109,900","25,700","25,700","26,250","26,250","24,300","24,300","39,150","39,350","38,450","44,200","40,450","48,050","13,800","11,950","15,000","14,250","14,200","16,100","12,650"
15/ 01/ 2018,"11,950","10,900","10,500","12,100","11,950","13,250","12,800","34,700","34,700","113,800","117,250","110,050","25,350","25,350","26,150","26,150","24,200","24,200","40,150","40,650","39,250","44,250","41,050","47,650","13,800","11,950","15,000","14,250","14,200","16,100","12,650"
16/ 01/ 2018,"12,000","10,950","10,500","12,100","12,000","13,250","12,850","34,600","34,600","114,150","117,600","110,700","25,200","25,200","26,000","26,000","24,150","24,150","39,750","40,200","38,700","43,800","40,900","47,100","13,800","11,950","15,000","14,250","14,200","16,100","12,600"
17/ 01/ 2018,"12,000","10,950","10,500","12,150","12,000","13,300","12,850","34,400","34,400","114,150","117,600","110,650","25,100","25,100","25,800","25,800","24,200","24,200","39,700","40,150","38,650","43,600","40,850","46,350","13,800","11,950","15,000","14,250","14,150","16,050","12,600"
18/ 01/ 2018,"12,050","10,950","10,500","12,150","12,050","13,300","12,850","34,250","34,250","114,150","117,600","110,600","25,000","25,000","25,700","25,700","24,100","24,100","39,550","40,050","38,500","43,400","40,700","46,000","13,800","11,950","14,950","14,250","14,150","16,050","12,600"
19/ 01/ 2018,"12,050","10,950","10,550","12,200","12,050","13,350","12,900","34,600","34,600","114,150","117,600","110,600","24,850","24,850","25,850","25,850","24,150","24,150","39,700","40,300","38,650","43,150","40,850","45,200","13,800","11,950","14,950","14,250","14,150","16,050","12,550"
22/ 01/ 2018,"12,050","10,950","10,550","12,200","12,050","13,350","12,900","33,900","33,900","114,100","117,600","110,550","24,750","24,750","25,550","25,550","24,200","24,200","40,000","40,700","38,750","42,950","40,800","44,850","13,800","11,900","14,950","14,250","14,150","16,050","12,600"
23/ 01/ 2018,"12,050","10,950","10,550","12,200","12,100","13,350","12,900","33,750","33,750","114,150","117,550","110,650","24,800","24,800","25,400","25,400","24,100","24,100","40,150","40,650","38,950","43,000","40,950","44,600","13,800","11,900","14,950","14,250","14,150","16,050","12,600"
24/ 01/ 2018,"12,100","11,000","10,550","12,200","12,100","13,400","12,900","33,600","33,600","114,150","117,550","110,650","24,600","24,600","25,200","25,200","24,150","24,150","40,200","40,800","38,900","42,050","40,250","43,950","13,800","11,950","14,950","14,250","14,150","16,050","12,550"
25/ 01/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","33,350","33,350","114,400","117,950","110,800","24,550","24,550","25,200","25,200","24,100","24,100","40,300","40,650","38,950","41,850","40,150","43,500","13,800","11,950","14,950","14,250","14,150","16,050","12,550"
26/ 01/ 2018,"12,100","11,000","10,600","12,250","12,100","13,350","12,950","33,000","33,000","114,200","117,600","110,700","24,450","24,450","25,150","25,150","24,100","24,100","40,500","40,850","39,250","41,500","40,100","42,900","13,800","11,900","14,950","14,250","14,150","16,050","12,550"
29/ 01/ 2018,"12,100","11,000","10,550","12,250","12,100","13,350","12,950","32,350","32,350","114,150","117,550","110,700","24,200","24,200","25,100","25,100","23,900","23,900","40,700","40,850","39,650","41,450","39,950","42,750","13,800","11,900","14,950","14,250","14,150","16,050","12,550"
30/ 01/ 2018,"12,100","11,000","10,550","12,250","12,100","13,400","12,950","32,300","32,300","114,100","117,550","110,600","24,150","24,150","25,100","25,100","23,950","23,950","40,700","40,850","39,700","41,200","39,750","42,550","13,800","11,900","14,950","14,250","14,150","16,000","12,550"
31/ 01/ 2018,"12,100","11,000","10,550","12,250","12,100","13,400","12,950","32,100","32,100","114,150","117,700","110,500","24,000","24,000","25,050","25,050","23,950","23,950","40,450","41,000","39,500","41,150","39,900","41,900","13,800","11,900","14,950","14,250","14,100","15,950","12,550"
01/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,300","32,300","113,750","117,450","109,900","23,900","23,900","24,950","24,950","24,000","24,000","40,200","41,000","39,250","40,600","39,350","41,800","13,750","11,850","14,950","14,250","14,100","15,950","12,550"
02/ 02/ 2018,"12,100","11,000","10,650","12,250","12,150","13,400","12,950","32,400","32,400","114,000","117,500","110,400","23,850","23,850","25,050","25,050","24,050","24,050","39,800","40,700","38,900","40,300","39,250","41,200","13,750","11,850","14,950","14,200","14,100","15,950","12,550"
05/ 02/ 2018,"12,100","11,000","10,600","12,250","12,150","13,400","12,950","32,350","32,350","114,000","117,500","110,400","23,700","23,700","25,150","25,150","24,350","24,350","39,100","40,150","38,100","40,250","38,750","41,700","13,700","11,850","14,850","14,150","14,050","15,950","12,550"
06/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,500","32,500","114,000","117,500","110,400","23,550","23,550","25,050","25,050","24,500","24,500","39,050","39,900","38,200","40,300","38,650","41,700","13,750","11,850","14,950","14,200","14,100","15,950","12,550"
07/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,500","32,500","114,000","117,500","110,400","23,550","23,550","25,050","25,050","25,000","25,000","39,150","40,100","38,300","40,550","38,600","42,200","13,750","11,850","14,900","14,200","14,100","15,950","12,550"
08/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,400","32,400","113,950","117,500","110,350","23,550","23,550","25,200","25,200","25,500","25,500","39,300","40,350","38,400","40,550","38,250","42,450","13,750","11,850","14,900","14,200","14,100","15,950","12,550"
09/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,350","12,950","32,500","32,500","113,950","117,450","110,350","23,400","23,400","25,450","25,450","26,150","26,150","39,900","40,800","39,000","40,650","38,200","42,850","13,750","11,850","14,900","14,200","14,100","15,950","12,600"
12/ 02/ 2018,"12,100","11,000","10,600","12,250","12,150","13,400","12,950","32,450","32,450","114,000","117,550","110,200","23,450","23,450","25,600","25,600","28,150","28,150","40,850","41,950","39,700","41,600","38,300","44,800","13,750","11,850","14,900","14,200","14,100","15,950","12,600"
13/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,500","32,500","113,700","117,300","109,950","23,500","23,500","25,700","25,700","28,600","28,600","41,100","42,200","39,950","42,250","38,650","45,850","13,750","11,900","14,900","14,200","14,100","15,900","12,600"
14/ 02/ 2018,"12,100","11,000","10,600","12,250","12,100","13,400","12,950","32,400","32,400","113,700","117,300","109,950","23,350","23,350","25,750","25,750","29,050","29,050","41,350","42,750","40,150","42,600","38,650","46,600","13,750","11,850","14,900","14,150","14,100","15,900","12,600"
15/ 02/ 2018,"12,100","11,000","10,600","12,250","12,150","13,400","12,950","32,350","32,350","113,750","117,400","109,900","23,450","23,450","25,750","25,750","29,400","29,400","41,400","42,800","40,250","43,000","38,800","47,150","13,750","11,850","14,850","14,200","14,100","15,900","12,600"
16/ 02/ 2018,"12,350","11,250","10,800","12,600","12,200","13,950","13,300","28,950","28,950","116,100","120,400","111,800","21,450","21,450","23,650","23,650","31,850","31,850","39,500","38,200","41,400","48,000","46,550","48,600","13,100","11,050","14,400","13,850","13,250","14,400","12,050"
19/ 02/ 2018,"12,050","10,950","10,600","12,200","12,100","13,400","12,950","31,900","31,900","113,850","117,500","110,100","23,350","23,350","25,950","25,950","30,250","30,250","42,000","43,000","41,050","44,200","39,100","49,350","13,750","11,850","14,900","14,150","14,100","15,900","12,600"
20/ 02/ 2018,"12,050","10,950","10,600","12,200","12,100","13,350","12,950","31,850","31,850","113,800","117,400","110,050","23,300","23,300","26,000","26,000","30,400","30,400","41,800","43,050","40,800","44,400","38,900","49,750","13,750","11,900","14,900","14,150","14,100","15,900","12,600"
21/ 02/ 2018,"12,050","10,950","10,600","12,200","12,100","13,350","12,950","31,700","31,700","113,650","117,250","109,900","23,200","23,200","26,150","26,150","30,600","30,600","41,500","42,550","40,600","45,300","39,550","50,500","13,750","11,900","14,900","14,150","14,100","15,900","12,600"
22/ 02/ 2018,"12,050","10,950","10,600","12,200","12,050","13,350","12,950","31,550","31,550","113,650","117,300","109,900","23,200","23,200","26,250","26,250","30,800","30,800","41,050","42,500","39,950","45,400","39,500","50,900","13,750","11,900","14,900","14,150","14,100","15,900","12,550"
23/ 02/ 2018,"12,050","10,950","10,600","12,200","12,050","13,350","12,950","31,450","31,450","113,600","117,300","109,800","23,150","23,150","26,250","26,250","31,000","31,000","40,850","42,050","39,900","45,200","39,550","50,550","13,750","11,900","14,900","14,200","14,100","15,900","12,550"
26/ 02/ 2018,"12,050","10,950","10,550","12,150","12,050","13,350","12,950","31,350","31,350","113,700","117,400","109,850","23,150","23,150","26,400","26,400","31,200","31,200","40,250","41,400","39,400","45,350","39,450","50,950","13,750","11,900","14,900","14,150","14,100","15,900","12,550"
27/ 02/ 2018,"12,000","10,900","10,550","12,150","12,000","13,300","12,900","31,300","31,300","113,850","117,550","109,850","23,100","23,100","26,450","26,450","31,250","31,250","40,350","41,450","39,550","45,800","39,400","51,900","13,750","11,900","14,850","14,150","14,100","15,900","12,550"
28/ 02/ 2018,"12,000","10,900","10,550","12,150","12,000","13,300","12,900","31,150","31,150","113,850","117,550","109,900","23,050","23,050","26,450","26,450","31,250","31,250","40,200","41,150","39,450","45,850","39,350","52,150","13,750","11,950","14,900","14,200","14,100","15,900","12,550"
01/ 03/ 2018,"12,000","10,900","10,550","12,100","12,000","13,300","12,900","31,100","31,100","113,950","117,600","110,000","23,100","23,100","26,400","26,400","31,300","31,300","40,250","41,100","39,450","45,850","39,100","52,450","13,750","11,900","14,850","14,150","14,100","15,900","12,550"
02/ 03/ 2018,"12,000","10,850","10,500","12,100","12,000","13,300","12,850","31,150","31,150","114,050","117,700","110,100","23,050","23,050","26,500","26,500","31,350","31,350","40,550","41,600","39,600","45,550","39,100","52,050","13,750","11,900","14,850","14,150","14,050","15,900","12,550"
05/ 03/ 2018,"12,000","10,850","10,600","12,100","11,950","13,250","12,900","31,050","31,050","114,050","117,700","110,100","23,050","23,050","26,700","26,700","31,550","31,550","41,800","42,300","41,000","46,900","39,600","53,800","13,750","11,950","14,900","14,150","14,050","15,900","12,550"
06/ 03/ 2018,"11,950","10,850","10,550","12,050","11,950","13,250","12,850","31,150","31,150","114,050","117,700","110,100","23,000","23,000","26,700","26,700","31,450","31,450","41,800","42,350","41,000","47,700","39,700","55,200","13,750","11,950","14,900","14,150","14,050","15,900","12,550"
07/ 03/ 2018,"12,000","10,900","10,600","12,050","11,950","13,250","12,850","31,200","31,200","114,050","117,700","110,100","22,950","22,950","26,750","26,750","31,600","31,600","41,850","42,450","41,000","47,550","39,800","54,800","13,750","11,900","14,900","14,150","14,050","15,900","12,550"
08/ 03/ 2018,"11,950","10,800","10,550","12,050","11,950","13,250","12,850","31,300","31,300","114,050","117,700","110,100","22,900","22,900","26,900","26,900","31,600","31,600","42,050","42,450","41,350","47,400","39,550","54,850","13,750","11,950","14,900","14,150","14,050","15,900","12,550"
09/ 03/ 2018,"11,950","10,850","10,550","12,050","11,950","13,250","12,850","31,400","31,400","114,000","117,700","110,100","22,850","22,850","27,050","27,050","31,700","31,700","42,450","42,800","41,900","48,200","40,050","56,000","13,750","11,950","14,900","14,150","14,000","15,800","12,550"
12/ 03/ 2018,"11,950","10,850","10,550","12,050","11,900","13,200","12,800","31,650","31,650","114,150","117,800","110,250","22,750","22,750","27,400","27,400","31,850","31,850","44,250","44,700","43,600","50,000","41,600","58,450","13,750","11,950","14,900","14,150","14,000","15,800","12,550"
13/ 03/ 2018,"11,950","10,850","10,550","12,050","11,900","13,200","12,800","31,800","31,800","114,150","117,800","110,250","22,700","22,700","27,400","27,400","31,900","31,900","44,700","45,250","44,050","49,700","41,300","58,000","13,750","11,950","14,900","14,150","14,000","15,800","12,550"
14/ 03/ 2018,"11,950","10,850","10,550","12,050","11,900","13,200","12,800","31,800","31,800","114,150","117,800","110,250","22,650","22,650","27,700","27,700","32,050","32,050","44,550","45,050","43,950","49,350","40,950","57,700","13,750","11,950","14,850","14,150","14,000","15,850","12,550"
15/ 03/ 2018,"11,950","10,850","10,550","12,050","11,900","13,200","12,800","31,900","31,900","114,050","117,650","110,250","22,650","22,650","27,750","27,750","32,200","32,200","44,850","45,550","44,100","48,900","40,750","56,900","13,750","11,950","14,850","14,150","14,000","15,850","12,550"
16/ 03/ 2018,"11,900","10,800","10,500","12,050","11,900","13,200","12,850","31,800","31,800","114,200","118,150","110,000","22,500","22,500","27,550","27,550","32,400","32,400","45,800","46,750","45,100","48,850","40,950","56,350","13,650","11,850","14,800","14,050","14,000","15,800","12,500"
19/ 03/ 2018,"11,950","10,850","10,550","12,050","11,900","13,200","12,800","32,050","32,050","113,950","117,800","108,850","22,550","22,550","28,200","28,200","33,550","33,550","44,600","45,700","43,800","47,450","40,850","53,650","13,750","11,950","14,850","14,150","14,000","15,850","12,550"
20/ 03/ 2018,"11,950","10,800","10,550","12,050","11,900","13,200","12,800","32,000","32,000","113,950","117,850","108,850","22,550","22,550","28,400","28,400","33,750","33,750","44,350","45,950","43,300","46,950","40,800","52,500","13,750","11,900","14,850","14,150","14,000","15,850","12,550"
21/ 03/ 2018,"11,950","10,850","10,600","12,050","11,900","13,200","12,800","32,000","32,000","114,150","117,550","109,650","22,500","22,500","28,400","28,400","34,200","34,200","44,300","45,950","43,200","46,750","40,650","52,100","13,700","11,900","14,850","14,150","14,000","15,850","12,550"
22/ 03/ 2018,"11,950","10,850","10,550","12,050","11,900","13,200","12,800","32,150","32,150","113,850","117,700","108,700","22,550","22,550","28,650","28,650","34,450","34,450","44,250","45,900","43,100","46,250","40,300","51,400","13,750","11,900","14,850","14,150","14,000","15,850","12,550"
23/ 03/ 2018,"11,950","10,800","10,550","12,050","11,900","13,200","12,800","32,200","32,200","114,000","117,700","109,200","22,500","22,500","28,700","28,700","34,900","34,900","43,700","45,150","42,600","46,000","39,950","51,200","13,750","11,900","14,850","14,150","14,000","15,850","12,550"
26/ 03/ 2018,"11,900","10,800","10,550","12,050","11,900","13,200","12,800","32,400","32,400","114,050","117,750","109,400","22,500","22,500","29,750","29,750","35,700","35,700","43,850","45,350","42,350","45,100","39,400","50,100","13,700","11,900","14,850","14,150","14,000","15,850","12,550"
27/ 03/ 2018,"11,900","10,800","10,550","12,050","11,850","13,200","12,800","32,400","32,400","114,050","117,750","109,400","22,450","22,450","30,000","30,000","35,700","35,700","43,800","45,200","42,300","45,150","39,300","50,250","13,750","11,900","14,850","14,150","14,000","15,850","12,550"
28/ 03/ 2018,"11,850","10,800","10,550","11,950","11,800","13,150","12,750","32,600","32,600","113,800","117,600","109,050","22,500","22,500","30,800","30,800","36,050","36,050","43,300","45,500","41,250","44,400","38,850","48,900","13,750","11,950","14,850","14,150","14,050","15,850","12,550"
29/ 03/ 2018,"11,900","10,800","10,500","12,000","11,850","13,150","12,800","32,500","32,500","113,950","117,700","108,900","22,400","22,400","31,100","31,100","35,750","35,750","43,200","45,300","41,600","45,050","39,500","49,550","13,700","11,900","14,850","14,150","14,000","15,850","12,550"
30/ 03/ 2018,"12,150","11,200","10,550","12,450","11,950","13,750","12,950","29,050","29,050","115,450","120,650","110,200","21,450","21,450","28,950","28,950","40,650","40,650","43,100","41,500","44,650","45,650","42,450","50,100","12,950","11,500","13,950","13,400","13,200","14,500","11,900"
02/ 04/ 2018,"11,900","10,750","10,600","12,000","11,850","13,150","12,750","32,650","32,650","114,100","117,900","109,400","22,700","22,700","33,150","33,150","35,500","35,500","43,400","46,050","41,550","44,600","39,650","48,950","13,700","11,900","14,850","14,100","14,000","15,800","12,550"
03/ 04/ 2018,"11,900","10,750","10,600","11,950","11,800","13,150","12,750","32,650","32,650","114,050","117,800","109,400","22,500","22,500","33,700","33,700","35,600","35,600","43,700","46,450","41,700","44,750","39,200","49,650","13,700","11,900","14,850","14,150","14,000","15,800","12,550"
04/ 04/ 2018,"11,900","10,750","10,550","11,950","11,800","13,200","12,750","32,750","32,750","114,200","118,000","109,400","22,550","22,550","33,750","33,750","35,250","35,250","43,700","45,650","42,400","44,800","39,250","49,600","13,700","11,900","14,850","14,100","13,950","15,750","12,550"
05/ 04/ 2018,"11,850","10,750","10,500","11,950","11,800","13,150","12,700","32,650","32,650","114,200","117,900","109,450","22,450","22,450","34,400","34,400","35,350","35,350","44,050","46,650","42,100","44,600","38,950","49,850","13,700","11,900","14,850","14,150","14,000","15,800","12,550"
06/ 04/ 2018,"11,850","10,750","10,500","11,950","11,800","13,150","12,700","32,650","32,650","114,150","117,850","109,400","22,400","22,400","34,950","34,950","35,100","35,100","44,000","46,800","41,900","44,500","39,150","49,400","13,700","11,900","14,850","14,150","14,000","15,800","12,550"
09/ 04/ 2018,"11,850","10,750","10,500","11,950","11,800","13,100","12,700","32,950","32,950","114,100","117,750","109,350","22,800","22,800","35,800","35,800","35,150","35,150","44,300","48,050","41,500","44,700","38,600","50,150","13,750","11,950","14,900","14,150","14,050","15,850","12,550"
10/ 04/ 2018,"11,850","10,700","10,450","11,950","11,800","13,150","12,700","32,900","32,900","114,250","117,900","109,500","22,900","22,900","36,150","36,150","35,050","35,050","44,400","48,000","41,700","44,950","39,200","49,950","13,700","11,900","14,850","14,100","14,000","15,750","12,550"
11/ 04/ 2018,"11,850","10,700","10,450","11,900","11,750","13,150","12,700","32,750","32,750","114,250","117,900","109,500","23,000","23,000","36,700","36,700","35,350","35,350","44,450","48,250","41,750","44,650","38,950","49,550","13,700","11,900","14,850","14,100","14,000","15,750","12,550"
12/ 04/ 2018,"11,850","10,700","10,450","11,900","11,750","13,150","12,700","32,800","32,800","114,250","117,900","109,500","23,100","23,100","37,050","37,050","35,450","35,450","44,550","48,450","41,800","44,500","38,400","49,850","13,700","11,900","14,850","14,100","14,000","15,750","12,550"
13/ 04/ 2018,"11,900","10,750","10,500","12,000","11,800","13,250","12,800","33,150","33,150","114,300","118,050","109,450","23,300","23,300","37,600","37,600","35,800","35,800","44,250","48,150","41,550","44,600","38,450","50,200","13,700","11,950","14,800","14,150","14,000","15,750","12,600"
16/ 04/ 2018,"11,800","10,700","10,450","11,900","11,750","13,100","12,700","33,250","33,250","114,200","117,900","109,500","23,250","23,250","37,550","37,550","35,150","35,150","43,550","47,150","40,950","42,500","37,100","47,600","13,700","11,900","14,850","14,100","14,000","15,750","12,600"
17/ 04/ 2018,"11,800","10,700","10,450","11,900","11,750","13,100","12,700","33,350","33,350","114,200","117,850","109,500","23,450","23,450","37,550","37,550","34,950","34,950","43,100","46,600","40,700","42,000","36,700","47,150","13,700","11,900","14,850","14,100","14,000","15,750","12,600"
18/ 04/ 2018,"11,800","10,700","10,450","11,900","11,750","13,100","12,650","33,500","33,500","114,200","117,900","109,500","23,550","23,550","37,550","37,550","34,750","34,750","42,300","45,700","39,900","41,450","36,150","46,400","13,700","11,900","14,850","14,100","14,000","15,750","12,600"
19/ 04/ 2018,"11,800","10,700","10,400","11,900","11,750","13,100","12,650","33,550","33,550","114,200","117,850","109,500","23,600","23,600","37,800","37,800","34,750","34,750","41,900","45,350","39,500","40,900","35,650","45,900","13,700","11,900","14,850","14,100","14,000","15,750","12,600"
20/ 04/ 2018,"11,800","10,650","10,350","11,850","11,700","13,100","12,650","33,550","33,550","114,350","118,100","109,500","23,600","23,600","37,900","37,900","34,800","34,800","41,350","45,300","38,900","40,500","35,350","45,300","13,700","11,900","14,850","14,100","13,950","15,600","12,600"
23/ 04/ 2018,"11,800","10,650","10,400","11,850","11,750","13,100","12,650","34,000","34,000","114,200","117,850","109,500","23,700","23,700","37,650","37,650","34,500","34,500","39,750","43,200","37,400","38,500","34,000","42,700","13,700","11,900","14,850","14,100","14,000","15,750","12,600"
24/ 04/ 2018,"11,750","10,650","10,400","11,850","11,700","13,100","12,650","34,100","34,100","114,200","117,850","109,450","23,750","23,750","37,750","37,750","34,500","34,500","39,650","43,250","37,350","38,100","33,850","42,150","13,700","11,900","14,850","14,100","14,000","15,750","12,600"
25/ 04/ 2018,"11,750","10,650","10,350","11,850","11,700","13,050","12,650","34,000","34,000","114,200","117,850","109,450","23,750","23,750","37,550","37,550","34,250","34,250","39,550","43,200","37,050","37,700","33,450","41,800","13,700","11,950","14,850","14,100","13,950","15,700","12,550"
26/ 04/ 2018,"11,750","10,650","10,350","11,850","11,700","13,050","12,650","34,050","34,050","114,200","117,900","109,450","23,800","23,800","37,500","37,500","34,000","34,000","39,200","42,950","36,750","37,300","33,200","41,350","13,750","11,950","14,850","14,150","13,950","15,700","12,550"
27/ 04/ 2018,"11,750","10,650","10,350","11,850","11,700","13,050","12,650","34,050","34,050","114,200","117,900","109,450","23,750","23,750","37,400","37,400","33,650","33,650","39,350","42,650","37,100","36,700","32,900","40,600","13,750","11,950","14,850","14,150","13,950","15,700","12,550"
30/ 04/ 2018,"11,750","10,650","10,350","11,850","11,700","13,050","12,650","34,300","34,300","114,300","118,000","109,550","23,900","23,900","37,100","37,100","32,600","32,600","39,600","42,800","37,550","35,900","32,750","39,150","13,700","11,950","14,800","14,100","13,950","15,700","12,600"
01/ 05/ 2018,"10,700","9,600","8,750","12,000","9,200","12,750","11,750","36,650","36,650","108,150","110,850","110,900","31,850","31,850","45,500","45,500","34,350","34,350","41,450","41,000","41,850","39,600","28,000","51,150","13,750","12,200","15,600","13,450","15,350","17,150","13,550"
02/ 05/ 2018,"11,750","10,600","10,350","11,850","11,700","13,100","12,650","34,450","34,450","114,200","117,850","109,500","24,050","24,050","36,750","36,750","32,000","32,000","39,550","42,900","37,350","35,500","32,700","38,750","13,750","11,950","14,850","14,150","14,000","15,700","12,600"
03/ 05/ 2018,"11,750","10,650","10,350","11,850","11,650","13,050","12,650","34,400","34,400","114,200","117,850","109,500","24,150","24,150","36,600","36,600","31,500","31,500","39,450","42,750","37,350","35,300","32,850","38,450","13,750","11,950","14,850","14,150","13,950","15,700","12,550"
04/ 05/ 2018,"11,750","10,600","10,300","11,850","11,650","13,050","12,650","34,550","34,550","114,200","117,850","109,500","24,250","24,250","36,550","36,550","31,050","31,050","39,300","42,400","37,200","35,050","32,600","38,050","13,700","11,950","14,800","14,150","13,950","15,700","12,550"
07/ 05/ 2018,"11,750","10,600","10,300","11,800","11,650","13,050","12,650","34,800","34,800","114,000","118,050","108,800","24,650","24,650","36,700","36,700","30,150","30,150","39,500","42,800","37,000","34,600","33,150","36,850","13,700","11,950","14,800","14,100","13,950","15,650","12,550"
08/ 05/ 2018,"11,750","10,600","10,300","11,800","11,650","13,050","12,650","35,050","35,050","114,450","118,200","109,700","24,750","24,750","36,850","36,850","29,950","29,950","39,200","42,600","36,600","34,400","32,750","36,750","13,700","11,950","14,800","14,100","13,950","15,650","12,550"
09/ 05/ 2018,"11,750","10,600","10,300","11,800","11,650","13,050","12,650","35,350","35,350","114,500","118,250","109,750","24,900","24,900","36,800","36,800","30,050","30,050","39,000","42,450","36,550","34,600","32,800","37,050","13,700","11,900","14,800","14,100","13,950","15,650","12,550"
10/ 05/ 2018,"10,800","9,600","8,700","12,000","10,250","12,750","11,750","37,200","37,200","108,150","110,850","110,900","33,050","33,050","46,350","46,350","33,950","33,950","41,850","43,000","40,700","31,150","24,400","37,900","13,750","12,200","15,600","13,450","15,450","17,250","13,550"
11/ 05/ 2018,"11,700","10,600","10,300","11,850","11,650","13,050","12,600","35,750","35,750","114,550","118,300","109,750","25,250","25,250","36,600","36,600","30,000","30,000","39,450","42,700","36,900","34,700","32,750","37,350","13,700","11,900","14,800","14,100","13,950","15,650","12,550"
14/ 05/ 2018,"11,750","10,600","10,300","11,850","11,650","13,050","12,650","36,600","36,600","115,050","118,750","110,100","25,600","25,600","36,400","36,400","29,400","29,400","40,800","43,700","38,200","34,900","33,200","37,200","13,700","11,900","14,800","14,100","13,950","15,650","12,550"
15/ 05/ 2018,"11,700","10,550","10,250","11,800","11,650","13,000","12,600","36,750","36,750","115,950","119,750","110,550","25,500","25,500","35,850","35,850","28,800","28,800","40,800","43,800","38,300","34,750","32,800","37,100","13,650","11,850","14,750","14,050","13,950","15,600","12,550"
16/ 05/ 2018,"11,750","10,600","10,300","11,850","11,700","13,050","12,650","37,050","37,050","116,800","120,650","111,300","25,750","25,750","36,200","36,200","29,300","29,300","40,450","42,400","38,800","35,050","33,250","37,250","13,650","11,850","14,800","14,050","13,900","15,550","12,550"
17/ 05/ 2018,"11,750","10,600","10,300","11,850","11,650","13,050","12,650","37,000","37,000","116,500","120,200","111,000","25,800","25,800","36,250","36,250","29,300","29,300","41,000","43,450","38,950","35,200","33,350","37,500","13,700","11,900","14,800","14,150","13,950","15,650","12,550"
18/ 05/ 2018,"11,700","10,600","10,300","11,850","11,650","13,000","12,650","37,000","37,000","116,000","119,750","110,600","25,850","25,850","36,450","36,450","29,450","29,450","41,550","43,800","39,600","36,700","34,850","39,350","13,700","11,850","14,800","14,100","13,950","15,650","12,550"
